ncalls, tottime, percall, cumtime, percall, filename:lineno(function)
1217, 0.000, 0.000, 0.000, 0.000, {method, 'span' of 're.Match' objects}
1217, 0.000, 0.000, 0.006, 0.000, tokenize.py:98(_compile)
1189, 0.000, 0.000, 0.000, 0.000, {built-in, method _bisect.bisect_right}
1189, 0.000, 0.000, 0.000, 0.000, libintmath.py:91(python_bitcount)
1179, 0.000, 0.000, 0.000, 0.000, {method, 'items' of 'mappingproxy' objects}
1164, 0.001, 0.000, 0.001, 0.000, {built-in, method torch._C._add_docstr}
1152, 0.000, 0.000, 0.000, 0.000, typing.py:928(__eq__)
1149, 0.000, 0.000, 0.000, 0.000, {method, 'keys' of 'dict' objects}
1118, 0.000, 0.000, 0.000, 0.000, dataclasses.py:597(_is_classvar)
1118, 0.000, 0.000, 0.000, 0.000, dataclasses.py:605(_is_initvar)
1059/4, 0.001, 0.000, 3.185, 0.796, {built-in, method builtins.__import__}
1048, 0.003, 0.000, 0.003, 0.000, _ops.py:314(inner)
1048, 0.000, 0.000, 0.000, 0.000, _ops.py:313(py_impl)
1045, 0.001, 0.000, 0.003, 0.000, typing_extensions.py:181(_collect_type_vars)
1041, 0.001, 0.000, 0.005, 0.000, typing.py:677(__init__)
1041, 0.002, 0.000, 0.013, 0.000, typing.py:739(__init__)
1007, 0.000, 0.000, 0.000, 0.000, {method, 'isupper' of 'str' objects}
1003/318, 0.011, 0.000, 0.027, 0.000, sre_parse.py:493(_parse)
1000, 0.000, 0.000, 0.000, 0.000, _metadata_requests.py:203(__init__)
994, 0.001, 0.000, 0.002, 0.000, dataclasses.py:612(_is_type)
969, 0.001, 0.000, 0.010, 0.000, __init__.py:695(__setitem__)
959, 0.000, 0.000, 0.001, 0.000, enum.py:12(_is_descriptor)
957, 0.000, 0.000, 0.000, 0.000, {built-in, method builtins.iter}
934, 0.000, 0.000, 0.000, 0.000, utils.py:56(<genexpr>)
933, 0.003, 0.000, 0.003, 0.000, {method, 'sub' of 're.Pattern' objects}
931, 0.000, 0.000, 0.002, 0.000, {built-in, method builtins.next}
929, 0.000, 0.000, 0.007, 0.000, artist.py:1546(is_alias)
885/840, 0.000, 0.000, 0.002, 0.000, {built-in, method builtins.any}
875, 0.000, 0.000, 0.000, 0.000, _param_validation.py:257(__init__)
873, 0.000, 0.000, 0.000, 0.000, sre_parse.py:168(__setitem__)
860, 0.000, 0.000, 0.001, 0.000, sre_compile.py:423(_simple)
850, 0.000, 0.000, 0.001, 0.000, colors.py:213(_is_nth_color)
848, 0.000, 0.000, 0.000, 0.000, {method, 'popitem' of 'collections.OrderedDict' objects}
848, 0.000, 0.000, 0.000, 0.000, conflict.py:67(<listcomp>)
842, 0.000, 0.000, 0.000, 0.000, inspect.py:2556(annotation)
841, 0.008, 0.000, 0.010, 0.000, {built-in, method builtins.eval}
